#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
237,Tyler Freeman,CLE,24,77,86,19,16,3,0,0,9,3,4,0,11,4,1,0,2,1,0,.247,2022
238,CJ Abrams,- - -,90,284,302,70,54,12,2,2,33,21,5,0,50,9,2,2,5,7,4,.246,2022
239,Rhys Hoskins,PHI,156,589,672,145,80,33,2,30,81,79,72,0,169,6,4,0,12,2,1,.246,2022
240,Matt Vierling,PHI,117,325,357,80,60,12,2,6,41,32,23,0,70,3,6,0,7,7,4,.246,2022
241,Jorge Alfaro,SDP,82,256,274,63,42,14,0,7,25,40,11,0,98,4,3,0,5,1,0,.246,2022
242,Matt Reynolds,- - -,93,244,272,60,46,10,1,3,31,23,26,0,78,1,1,0,7,5,0,.246,2022
243,Ryan McMahon,COL,153,529,597,130,84,23,3,20,67,67,60,0,158,5,3,0,7,7,3,.246,2022
244,Mitch Haniger,SEA,57,224,247,55,36,8,0,11,31,34,20,1,65,1,2,0,7,0,0,.246,2022
245,A.J. Pollock,CHW,138,489,527,120,79,26,1,14,61,56,32,0,98,2,4,0,13,3,1,.245,2022
246,Brandon Marsh,- - -,134,424,461,104,71,18,4,11,49,52,28,1,158,3,3,3,4,10,4,.245,2022
247,Chas McCormick,HOU,119,359,407,88,60,12,2,14,47,44,46,0,106,1,1,0,5,4,3,.245,2022
248,Corey Seager,TEX,151,593,663,145,87,24,1,33,91,83,58,7,103,7,5,0,14,3,0,.245,2022
249,Evan Longoria,SFG,89,266,298,65,38,13,0,14,31,42,27,2,83,2,3,0,6,0,0,.244,2022
250,Edwin Rios,LAD,27,86,92,21,13,1,0,7,12,17,5,1,36,1,0,0,2,0,1,.244,2022
251,Nolan Jones,CLE,28,86,94,21,14,5,0,2,10,13,8,1,31,0,0,0,2,0,0,.244,2022
252,Orlando Arcia,ATL,68,209,234,51,33,9,0,9,25,30,21,0,51,2,2,0,7,0,0,.244,2022
253,Hanser Alberto,LAD,73,156,159,38,25,9,2,2,13,15,3,0,25,0,0,0,7,0,1,.244,2022
254,Ke'Bryan Hayes,PIT,136,505,560,123,89,24,3,7,55,41,48,0,122,5,2,0,12,20,5,.244,2022
255,Jurickson Profar,SDP,152,575,658,140,87,36,2,15,82,58,73,0,103,4,3,3,12,5,1,.243,2022
256,J.P. Crawford,SEA,145,518,603,126,93,24,3,6,57,42,68,0,80,10,5,2,11,3,2,.243,2022
257,Owen Miller,CLE,130,424,472,103,70,26,1,6,53,51,32,1,93,7,9,0,8,2,0,.243,2022
258,Willson Contreras,CHC,113,416,487,101,54,23,2,22,65,55,45,0,103,24,2,0,14,4,2,.243,2022
259,Michael Massey,KCR,52,173,194,42,28,9,1,4,16,17,9,0,46,8,2,2,1,3,0,.243,2022
260,Aledmys Diaz,HOU,92,305,327,74,49,13,0,12,35,38,18,0,53,2,2,0,7,1,1,.243,2022
261,Juan Soto,- - -,153,524,664,127,73,25,2,27,93,62,135,6,96,4,0,0,12,6,2,.242,2022
262,Francisco Mejia,TBR,93,289,299,70,42,22,0,6,32,31,7,0,65,2,1,0,6,0,0,.242,2022
263,Yuli Gurriel,HOU,146,545,584,132,84,40,0,8,53,53,30,0,73,6,3,0,13,8,0,.242,2022
264,Christian Walker,ARI,160,583,667,141,78,25,2,36,84,94,69,2,131,8,7,0,15,2,2,.242,2022
265,Gavin Sheets,CHW,124,377,410,91,57,19,0,15,34,53,27,0,86,3,3,0,9,0,0,.241,2022
266,Willi Castro,DET,112,365,392,88,60,18,2,8,47,31,15,0,82,8,3,1,4,9,4,.241,2022
267,Lane Thomas,WSN,146,498,548,120,75,26,2,17,62,52,41,0,132,4,5,0,8,8,4,.241,2022
268,Willians Astudillo,MIA,21,54,55,13,12,0,0,1,5,4,1,0,3,0,0,0,2,1,0,.241,2022
269,Rafael Ortega,CHC,118,316,371,76,54,14,1,7,35,35,44,2,74,2,7,1,10,12,7,.241,2022
270,Anthony Santander,BAL,152,574,647,138,81,24,0,33,78,89,55,1,122,13,5,0,14,0,2,.240,2022
271,Eduardo Escobar,NYM,136,495,542,119,69,26,4,20,58,69,40,3,129,1,6,0,4,0,2,.240,2022
272,Matt Olson,ATL,162,616,699,148,70,44,0,34,86,103,75,6,170,4,4,0,13,0,0,.240,2022
273,Jon Berti,MIA,102,358,404,86,62,17,3,4,47,28,42,0,89,3,1,0,6,41,5,.240,2022
274,Jake Hager,ARI,28,50,59,12,10,2,0,0,4,3,8,0,17,0,0,1,0,0,0,.240,2022
275,TJ Friedl,CIN,72,225,258,54,31,10,5,8,33,25,20,0,40,7,6,0,3,7,2,.240,2022
276,Ketel Marte,ARI,137,492,558,118,62,42,2,12,68,52,55,3,101,6,5,0,12,5,1,.240,2022
277,Sam Huff,TEX,44,121,132,29,21,4,0,4,9,10,11,1,42,0,0,0,1,1,0,.240,2022
278,Drew Waters,KCR,32,96,109,23,11,6,1,5,14,18,12,0,40,0,0,0,1,0,0,.240,2022
279,Tomas Nido,NYM,98,284,313,68,50,15,0,3,31,28,14,0,76,1,2,12,14,0,0,.239,2022
280,Trey Mancini,- - -,143,519,587,124,82,23,1,18,56,63,53,2,135,10,5,0,12,0,0,.239,2022
281,Luis Urias,MIL,119,406,472,97,63,17,1,16,54,47,50,0,99,11,5,0,9,1,2,.239,2022
282,Tommy La Stella,SFG,60,180,195,43,27,14,0,2,17,14,11,0,30,1,3,0,4,0,0,.239,2022
283,Ryan O'Hearn,KCR,67,134,145,32,24,6,1,1,14,16,8,0,35,2,1,0,2,0,0,.239,2022
284,Jake Cronenworth,SDP,158,587,684,140,89,30,4,17,88,88,70,3,131,16,8,0,2,3,0,.239,2022
285,Adam Frazier,SEA,156,541,602,129,100,22,4,3,61,42,46,1,73,5,6,4,15,11,6,.238,2022
286,Daniel Vogelbach,- - -,130,386,461,92,54,19,1,18,47,59,73,2,114,1,1,0,11,0,0,.238,2022
287,Trevor Story,BOS,94,357,396,85,47,22,0,16,53,66,32,4,122,3,4,0,9,13,0,.238,2022
288,Adam Haseley,CHW,14,21,25,5,5,0,0,0,4,2,3,0,7,0,0,1,0,0,0,.238,2022
289,Romy Gonzalez,CHW,32,105,109,25,18,4,1,2,15,11,2,0,39,1,1,0,3,0,1,.238,2022
290,Willy Adames,MIL,139,563,617,134,72,31,0,31,83,98,49,3,166,1,4,0,11,8,3,.238,2022
291,Gilberto Celestino,MIN,122,311,347,74,59,12,1,2,30,24,32,0,77,2,0,2,13,4,1,.238,2022
292,Odubel Herrera,PHI,62,185,197,44,29,9,1,5,23,21,11,0,42,0,1,0,3,6,0,.238,2022
293,Javier Baez,DET,144,555,590,132,84,27,4,17,64,67,26,1,147,6,3,0,13,9,2,.238,2022
294,Connor Joe,COL,111,404,467,96,65,20,4,7,56,28,55,0,97,7,1,0,8,6,2,.238,2022
295,Ryan McKenna,BAL,105,156,172,37,25,10,0,2,23,11,11,1,55,2,1,2,3,2,1,.237,2022
296,Andrew McCutchen,MIL,134,515,580,122,80,25,0,17,66,69,57,1,124,4,4,0,10,8,6,.237,2022
297,Johan Camargo,PHI,52,152,166,36,30,3,0,3,8,15,13,0,37,0,0,1,1,0,0,.237,2022
298,Alex Call,- - -,47,114,131,27,18,3,1,5,18,13,15,0,30,2,0,0,2,3,3,.237,2022
299,Tommy Pham,- - -,144,554,622,131,90,23,1,17,89,63,56,0,167,7,5,0,20,8,3,.236,2022
300,Luke Williams,- - -,79,127,136,30,23,5,1,1,21,6,9,1,44,0,0,0,1,11,4,.236,2022
301,Jace Peterson,MIL,113,288,328,68,44,14,2,8,44,34,33,2,85,2,3,2,8,12,1,.236,2022
302,Dylan Carlson,STL,128,432,488,102,60,30,4,8,56,42,45,1,94,7,4,0,6,5,2,.236,2022
303,Hunter Dozier,KCR,129,462,500,109,67,26,4,12,51,41,34,0,125,3,1,0,14,4,3,.236,2022
304,Eugenio Suarez,SEA,150,543,629,128,71,24,2,31,76,87,73,0,196,8,5,0,12,0,0,.236,2022
305,Miguel Rojas,MIA,140,471,507,111,84,19,2,6,34,36,26,1,61,6,3,1,12,9,3,.236,2022
306,Ezequiel Duran,TEX,58,208,220,49,33,10,1,5,25,25,12,0,54,0,0,0,3,4,1,.236,2022
307,Chad Pinder,OAK,111,361,379,85,55,18,0,12,38,42,14,0,118,0,2,1,10,2,0,.235,2022
308,Tony Kemp,OAK,147,497,558,117,84,24,2,7,61,46,45,0,69,8,3,5,5,11,1,.235,2022
309,Daulton Varsho,ARI,151,531,592,125,72,23,3,27,79,74,46,0,145,7,5,2,8,16,6,.235,2022
310,Alfonso Rivas,CHC,101,251,287,59,49,5,2,3,27,25,29,1,87,4,2,1,1,6,1,.235,2022
311,Jesus Aguilar,- - -,129,464,507,109,74,19,0,16,39,51,28,1,119,4,5,0,8,1,0,.235,2022
312,Miguel Andujar,- - -,36,132,140,31,24,5,1,1,13,17,5,0,27,0,3,0,1,4,1,.235,2022
313,Christopher Morel,CHC,113,379,425,89,50,19,4,16,55,47,38,0,137,3,2,3,6,10,7,.235,2022
314,Jorge Polanco,MIN,104,375,445,88,56,16,0,16,54,56,64,1,95,2,4,0,4,3,3,.235,2022
315,Yan Gomes,CHC,86,277,293,65,45,12,0,8,23,31,8,0,47,3,4,1,15,2,0,.235,2022
316,Nelson Cruz,WSN,124,448,507,105,79,16,0,10,50,64,49,1,119,4,3,0,16,4,0,.234,2022
317,Bryson Stott,PHI,127,427,466,100,69,19,2,10,58,49,36,0,89,1,1,1,3,12,4,.234,2022
318,Jake Marisnick,PIT,31,77,82,18,10,6,0,2,9,6,4,1,24,0,0,1,2,2,1,.234,2022
319,Luis Barrera,OAK,32,77,85,18,12,5,0,1,3,7,6,0,17,1,1,0,2,3,0,.234,2022
320,Roberto Perez,PIT,21,60,69,14,10,2,0,2,8,8,9,0,25,0,0,0,1,0,0,.233,2022
321,Kyle Garlick,MIN,66,150,162,35,23,3,0,9,23,18,8,0,48,3,1,0,2,0,0,.233,2022
322,Emmanuel Rivera,- - -,102,330,359,77,46,16,3,12,46,40,23,0,83,5,1,0,8,1,2,.233,2022
323,Tyrone Taylor,MIL,120,373,405,87,46,21,3,17,49,51,22,0,102,7,3,0,11,3,2,.233,2022
324,Rodolfo Castro,PIT,71,253,278,59,36,8,4,11,25,27,22,0,74,2,1,0,6,5,3,.233,2022
325,Ji-Man Choi,TBR,113,356,419,83,50,22,0,11,36,52,58,3,123,2,3,0,3,0,0,.233,2022
326,Elehuris Montero,COL,53,176,185,41,19,15,1,6,21,20,8,0,60,1,0,0,4,0,0,.233,2022
327,Yermin Mercedes,SFG,31,73,83,17,11,5,0,1,9,8,9,0,17,1,0,0,1,0,0,.233,2022
328,Oneil Cruz,PIT,87,331,361,77,43,13,4,17,45,54,28,1,126,1,1,0,3,10,4,.233,2022
329,Richie Palacios,CLE,54,112,123,26,20,6,0,0,7,10,9,1,20,1,1,0,2,2,0,.232,2022
330,Ben Gamel,PIT,115,371,423,86,55,20,2,9,42,46,48,2,98,3,1,0,5,5,1,.232,2022
331,Trevor Larnach,MIN,51,160,180,37,19,13,0,5,22,18,18,1,57,0,2,0,1,0,0,.231,2022
332,Alek Thomas,ARI,113,381,411,88,62,17,1,8,45,39,22,0,74,3,5,0,6,4,3,.231,2022
333,Brandon Crawford,SFG,118,407,458,94,68,15,2,9,50,52,39,3,98,8,4,0,12,1,1,.231,2022
334,Nick Ahmed,ARI,17,52,54,12,7,2,0,3,7,7,2,0,15,0,0,0,2,0,1,.231,2022
335,David Villar,SFG,52,156,181,36,20,6,1,9,21,24,18,0,58,6,1,0,4,0,1,.231,2022
336,Nick Senzel,CIN,110,373,420,86,68,13,0,5,45,25,30,0,76,5,1,2,7,8,5,.231,2022
337,Nick Fortes,MIA,72,217,240,50,34,6,1,9,41,24,18,0,45,5,0,0,5,5,3,.230,2022
338,Seth Brown,OAK,150,500,555,115,61,26,3,25,55,73,51,3,146,3,1,0,7,11,2,.230,2022
339,Michael Chavis,PIT,129,401,426,92,59,16,3,14,39,49,19,1,126,2,4,0,4,1,1,.229,2022
340,Maikel Franco,WSN,103,371,388,85,61,15,0,9,31,39,12,0,75,2,3,0,18,1,0,.229,2022
341,Tyler Naquin,- - -,105,310,334,71,37,19,4,11,47,46,19,2,93,4,0,1,3,4,2,.229,2022
342,Anthony Rendon,LAA,47,166,193,38,23,10,0,5,15,24,23,0,35,2,2,0,7,2,0,.229,2022
343,Derek Hill,DET,31,83,92,19,16,2,0,1,8,3,5,0,28,0,1,3,0,3,0,.229,2022
344,P.J. Higgins,CHC,74,201,229,46,28,11,1,6,23,30,22,0,58,2,1,3,2,0,0,.229,2022
345,Frank Schwindel,CHC,75,271,292,62,43,11,0,8,23,36,19,1,58,0,2,0,12,0,0,.229,2022
346,Matt Chapman,TOR,155,538,621,123,68,27,1,27,83,76,68,1,170,10,5,0,7,2,2,.229,2022
347,Wilmer Flores,SFG,151,525,602,120,72,28,1,19,72,71,59,1,103,11,7,0,7,0,0,.229,2022
348,Kevin Kiermaier,TBR,63,206,221,47,32,8,0,7,28,22,14,0,61,1,0,0,2,6,1,.228,2022
349,Matt Wallner,MIN,18,57,65,13,8,3,0,2,4,10,6,1,25,2,0,0,0,1,0,.228,2022
350,Elias Diaz,COL,105,351,381,80,51,18,2,9,29,51,25,0,82,2,3,0,8,0,1,.228,2022
351,Lars Nootbaar,STL,108,290,347,66,33,16,3,14,53,40,51,1,71,1,5,0,3,4,1,.228,2022
352,Tyler O'Neill,STL,96,334,383,76,50,11,1,14,56,58,38,0,103,4,7,0,9,14,4,.228,2022
353,Edmundo Sosa,- - -,78,176,190,40,23,11,4,2,26,21,5,0,50,7,1,1,6,6,1,.227,2022
354,Kyle Higashioka,NYY,83,229,248,52,35,7,0,10,27,31,12,0,52,1,4,2,5,0,1,.227,2022
355,Nicky Lopez,KCR,142,436,480,99,83,12,4,0,51,20,29,0,63,4,1,10,8,13,3,.227,2022
356,Max Kepler,MIN,115,388,446,88,60,18,1,9,54,43,49,1,66,5,4,0,7,3,2,.227,2022
357,Jake Meyers,HOU,52,150,160,34,25,6,2,1,13,15,7,0,54,2,1,0,1,2,1,.227,2022
358,Jonah Heim,TEX,127,406,450,92,55,20,1,16,51,48,41,0,87,1,2,0,10,2,0,.227,2022
359,Keston Hiura,MIL,80,234,266,53,30,8,1,14,34,32,23,0,111,8,1,0,3,5,2,.226,2022
360,Calvin Mitchell,PIT,69,212,232,48,32,11,0,5,21,17,18,0,52,0,1,1,3,3,1,.226,2022
361,Nolan Gorman,STL,89,283,313,64,37,13,0,14,44,35,28,0,103,2,0,0,2,1,0,.226,2022
362,Luke Voit,- - -,135,500,568,113,69,22,0,22,55,69,55,1,179,7,6,0,9,1,1,.226,2022
363,Marcell Ozuna,ATL,124,470,507,106,64,19,0,23,56,56,31,0,122,2,4,0,12,2,1,.226,2022
364,Luis Torrens,SEA,57,151,166,34,29,2,0,3,13,15,12,0,50,1,2,0,5,0,0,.225,2022
365,Adam Engel,CHW,119,245,260,55,39,13,1,2,32,17,11,1,76,4,0,0,2,12,4,.224,2022
366,Dylan Moore,SEA,104,205,255,46,27,11,2,6,41,24,34,2,75,13,1,1,5,21,8,.224,2022
367,Avisail Garcia,MIA,98,357,380,80,63,9,0,8,31,35,17,0,109,4,2,0,12,4,0,.224,2022
368,Victor Robles,WSN,132,366,407,82,64,10,2,6,42,33,17,0,104,9,4,11,3,15,4,.224,2022
369,Jo Adell,LAA,88,268,285,60,38,12,2,8,22,27,11,0,107,4,1,0,6,4,2,.224,2022
370,Jonathan Davis,MIL,37,76,91,17,16,1,0,0,9,4,14,0,26,0,0,1,1,7,1,.224,2022
371,Anthony Rizzo,NYY,130,465,548,104,50,21,1,32,77,75,58,6,101,23,2,0,13,6,5,.224,2022
372,Byron Buxton,MIN,92,340,382,76,32,13,3,28,61,51,34,0,116,7,1,0,0,6,0,.224,2022
373,Albert Almora Jr.,CIN,64,215,235,48,32,10,1,5,26,29,17,0,46,1,1,1,9,3,2,.223,2022
374,Jacob Stallings,MIA,114,346,384,77,61,12,0,4,25,34,29,0,83,6,2,1,15,0,1,.223,2022
375,Pedro Severino,MIL,8,18,21,4,2,2,0,0,0,1,3,0,7,0,0,0,0,0,0,.222,2022
376,Carlos Perez,CHW,7,18,18,4,2,2,0,0,0,2,0,0,2,0,0,0,1,0,0,.222,2022
377,Brian Anderson,MIA,98,338,383,75,50,16,1,8,43,28,37,2,101,7,1,0,7,1,0,.222,2022
378,Josh Donaldson,NYY,132,478,546,106,63,28,0,15,59,62,54,1,148,8,6,0,13,2,2,.222,2022
379,Enrique Hernandez,BOS,93,361,402,80,50,24,0,6,48,45,34,0,71,3,4,0,11,0,2,.222,2022
380,Franmil Reyes,- - -,118,438,473,97,64,17,2,14,43,47,30,0,157,2,3,0,12,2,1,.221,2022
381,Chris Taylor,LAD,118,402,454,89,51,25,3,10,45,43,44,2,160,5,3,0,4,10,1,.221,2022
382,Brandon Lowe,TBR,65,235,266,52,32,10,2,8,31,25,27,0,61,3,1,0,1,1,0,.221,2022
383,Luke Maile,CLE,76,181,206,40,27,10,0,3,19,17,19,0,54,3,3,0,6,0,0,.221,2022
384,Josh Lowe,TBR,52,181,198,40,24,12,2,2,24,13,15,1,66,1,0,1,1,3,0,.221,2022
385,Jorge Mateo,BAL,150,494,533,109,64,25,7,13,63,50,27,0,147,5,2,3,8,35,9,.221,2022
386,Tucker Barnhart,DET,94,281,308,62,51,10,0,1,16,16,25,0,74,1,0,1,7,0,0,.221,2022
387,Jarren Duran,BOS,58,204,223,45,25,14,3,3,23,17,14,0,63,4,1,0,1,7,1,.221,2022
388,Myles Straw,CLE,152,535,596,118,93,22,3,0,72,32,54,0,87,1,4,2,4,21,1,.221,2022
389,Pavin Smith,ARI,75,245,277,54,36,9,0,9,24,33,28,1,67,1,3,0,2,1,0,.220,2022
390,Kevin Plawecki,- - -,64,168,186,37,28,8,0,1,15,13,14,0,32,2,1,1,6,0,0,.220,2022
391,Vimael Machin,OAK,73,223,253,49,36,12,0,1,26,13,25,0,47,2,3,0,6,1,1,.220,2022
392,Sergio Alcantara,- - -,93,205,224,45,30,8,1,6,26,29,12,0,57,1,4,2,6,1,2,.220,2022
393,Jesse Winker,SEA,136,456,547,100,71,15,0,14,51,53,84,1,103,4,3,0,8,0,0,.219,2022
394,Rowdy Tellez,MIL,153,529,599,116,58,23,0,35,67,89,62,9,121,5,3,0,20,2,1,.219,2022
395,Franchy Cordero,BOS,84,242,275,53,27,17,1,8,36,29,28,1,92,1,2,2,1,4,1,.219,2022
396,Daz Cameron,DET,21,64,70,14,9,3,1,1,6,8,5,0,20,1,0,0,1,2,0,.219,2022
397,Andy Ibanez,TEX,40,119,128,26,21,4,0,1,13,9,9,0,21,0,0,0,0,3,0,.218,2022
398,Kyle Schwarber,PHI,155,577,669,126,56,21,3,46,100,94,86,3,200,4,2,0,10,10,1,.218,2022
399,Shea Langeliers,OAK,40,142,153,31,14,10,1,6,14,22,9,0,53,0,2,0,4,0,0,.218,2022
400,Alcides Escobar,WSN,42,124,131,27,21,4,2,0,12,8,5,0,32,2,0,0,1,1,1,.218,2022
401,Tyler Wade,LAA,67,147,163,32,26,5,0,1,22,8,10,0,33,1,0,5,3,8,5,.218,2022
402,Matt Thaiss,LAA,29,69,81,15,12,1,0,2,9,8,11,1,24,0,1,0,2,1,0,.217,2022
403,MJ Melendez,KCR,129,460,534,100,58,21,3,18,57,62,66,1,131,1,7,0,2,2,3,.217,2022
404,Buddy Kennedy,ARI,30,83,94,18,13,2,2,1,10,12,8,0,23,1,2,0,1,0,0,.217,2022
405,Jeimer Candelario,DET,124,429,467,93,59,19,2,13,49,50,28,1,109,6,4,0,9,0,1,.217,2022
406,Tyler Heineman,- - -,62,157,174,34,26,8,0,0,16,9,8,0,17,5,0,4,3,1,0,.217,2022
407,Jake Lamb,- - -,41,97,111,21,11,6,1,3,13,6,11,0,38,3,0,0,4,0,1,.216,2022
408,Jackson Frazier,CHC,19,37,45,8,5,3,0,0,4,1,7,0,11,1,0,0,1,1,0,.216,2022
409,Michael Toglia,COL,31,111,120,24,12,8,2,2,10,12,9,0,44,0,0,0,2,1,1,.216,2022
410,Aaron Hicks,NYY,130,384,453,83,64,9,2,8,54,40,62,3,109,4,2,1,10,10,3,.216,2022
411,Hoy Park,PIT,23,51,60,11,7,2,0,2,7,6,4,0,15,1,2,2,0,1,0,.216,2022
412,Andrew Knizner,STL,97,260,293,56,42,10,0,4,28,25,26,0,62,6,0,1,9,0,1,.215,2022
413,Roman Quinn,- - -,44,79,87,17,12,3,2,0,15,7,7,0,36,1,0,0,0,4,3,.215,2022
414,Jared Walsh,LAA,118,423,454,91,56,18,2,15,41,44,27,4,138,4,0,0,6,2,1,.215,2022
415,Joey Bart,SFG,97,261,291,56,39,6,0,11,34,25,26,0,112,4,0,0,5,2,1,.215,2022
416,Bobby Dalbec,BOS,117,317,353,68,45,9,2,12,40,39,29,0,118,3,4,0,5,3,0,.215,2022
417,Mike Yastrzemski,SFG,148,485,558,104,54,31,2,17,73,57,61,0,141,5,6,1,3,5,1,.214,2022
418,Mike Moustakas,CIN,78,252,285,54,35,12,0,7,30,25,24,0,75,6,3,0,8,2,0,.214,2022
419,Cam Gallagher,KCR,18,42,47,9,4,5,0,0,1,5,3,0,13,0,0,2,0,0,0,.214,2022
420,Brandon Dixon,SDP,5,14,14,3,2,1,0,0,1,1,0,0,5,0,0,0,1,0,0,.214,2022
421,Jesus Sanchez,MIA,98,313,343,67,37,14,3,13,38,36,26,0,92,3,1,0,7,1,0,.214,2022
422,Sheldon Neuse,OAK,89,271,293,58,48,4,2,4,25,26,20,0,80,2,0,0,5,6,1,.214,2022
423,Mauricio Dubon,- - -,104,243,265,52,38,9,0,5,31,24,13,0,30,1,5,3,7,2,3,.214,2022
424,Yadier Molina,STL,80,262,270,56,43,8,0,5,19,24,5,0,40,2,1,0,10,2,0,.214,2022
425,Travis Demeritte,ATL,26,89,96,19,14,2,0,3,9,6,6,0,32,0,1,0,2,0,0,.213,2022
426,Jake Cave,MIN,54,164,177,35,20,7,3,5,17,20,11,0,49,0,2,0,2,2,0,.213,2022
427,Aramis Garcia,CIN,47,108,115,23,20,2,0,1,6,4,3,0,34,2,0,2,4,0,1,.213,2022
428,Jason Delay,PIT,57,155,167,33,26,6,0,1,17,11,9,0,50,2,0,1,4,0,2,.213,2022
429,Joshua Palacios,WSN,29,47,49,10,8,2,0,0,8,2,1,0,15,1,0,0,0,1,0,.213,2022
430,Jose Siri,- - -,104,301,325,64,42,13,2,7,53,24,20,0,108,3,1,0,3,14,2,.213,2022
431,Brandon Belt,SFG,78,254,298,54,36,9,1,8,25,23,37,2,81,6,1,0,9,1,0,.213,2022
432,Adam Duvall,ATL,86,287,315,61,32,16,1,12,39,36,21,0,101,5,2,0,2,0,2,.213,2022
433,Rene Pinto,TBR,25,80,83,17,12,3,0,2,5,10,2,0,35,1,0,0,3,0,0,.213,2022
434,Austin Barnes,LAD,62,179,212,38,24,6,0,8,31,26,27,0,37,3,1,2,5,2,1,.212,2022
435,Ezequiel Tovar,COL,9,33,35,7,5,1,0,1,2,2,2,0,9,0,0,0,0,0,0,.212,2022
436,Eddie Rosario,ATL,80,250,270,53,35,12,1,5,27,24,17,0,68,0,3,0,3,3,0,.212,2022
437,Brad Miller,TEX,81,222,241,47,37,3,0,7,20,32,18,0,70,0,1,0,3,4,2,.212,2022
438,Yoan Moncada,CHW,104,397,433,84,53,18,1,12,41,51,32,2,114,2,1,1,5,2,0,.212,2022
439,Carson Kelly,ARI,104,317,354,67,42,18,0,7,40,35,29,0,71,4,4,0,10,2,0,.211,2022
440,Giancarlo Stanton,NYY,110,398,452,84,46,7,0,31,53,78,50,2,137,0,3,0,8,0,0,.211,2022
441,Garrett Hampson,COL,90,199,226,42,30,7,3,2,29,15,21,0,63,1,2,3,3,12,2,.211,2022
442,Colin Moran,CIN,42,109,128,23,15,3,0,5,11,23,16,0,30,0,3,0,4,0,0,.211,2022
443,Ramon Laureano,OAK,94,346,383,73,42,18,0,13,49,34,25,0,104,12,0,0,6,11,6,.211,2022
444,Kyle Isbel,KCR,106,256,278,54,35,10,4,5,32,28,16,0,75,3,2,1,5,9,6,.211,2022
445,Cal Raleigh,SEA,119,370,415,78,30,20,1,27,46,63,38,0,122,2,5,0,5,1,0,.211,2022
446,Yairo Munoz,PHI,29,57,60,12,7,2,0,3,7,7,3,0,10,0,0,0,0,1,0,.211,2022
447,Spencer Steer,CIN,28,95,108,20,13,5,0,2,12,8,11,0,26,2,0,0,2,0,1,.211,2022
448,Cody Bellinger,LAD,144,504,550,106,57,27,3,19,70,68,38,0,150,2,6,0,7,14,3,.210,2022
449,Didi Gregorius,PHI,63,214,232,45,31,9,4,1,17,19,13,0,36,3,2,0,0,1,0,.210,2022
450,Leury Garcia,CHW,97,300,315,63,52,8,0,3,38,20,7,0,65,3,3,2,6,2,0,.210,2022
451,Robbie Grossman,- - -,129,411,477,86,59,19,1,7,40,45,56,0,129,6,4,0,3,6,2,.209,2022
452,J.J. Matijevic,HOU,32,67,71,14,10,2,0,2,7,5,2,0,25,2,0,0,1,1,0,.209,2022
453,Yu Chang,- - -,69,168,190,35,25,6,0,4,19,15,16,0,59,4,2,0,5,0,1,.208,2022
454,Jonathan Villar,- - -,59,202,220,42,31,6,2,3,25,18,15,0,59,0,2,1,4,7,0,.208,2022
455,Ryan Jeffers,MIN,67,212,236,44,26,10,1,7,25,27,23,0,62,0,0,1,6,0,0,.208,2022
456,Mitch Garver,TEX,54,188,215,39,22,7,0,10,23,24,23,0,53,2,2,0,3,1,1,.207,2022
457,Jorge Soler,MIA,72,270,306,56,30,13,0,13,32,34,31,1,90,3,1,0,9,0,2,.207,2022
458,LaMonte Wade Jr.,SFG,77,217,251,45,29,7,1,8,29,26,26,0,51,5,1,2,0,1,0,.207,2022
459,Nick Allen,OAK,100,299,326,62,45,13,0,4,31,19,19,0,64,1,1,6,5,3,2,.207,2022
460,Nick Solak,TEX,35,82,95,17,13,1,0,3,14,4,7,0,19,5,0,1,1,3,2,.207,2022
461,Dermis Garcia,OAK,39,116,125,24,13,6,0,5,13,20,8,0,55,1,0,0,1,0,0,.207,2022
462,Patrick Wisdom,CHC,134,469,534,97,44,28,0,25,67,66,53,1,183,9,2,1,8,8,4,.207,2022
463,Oscar Mercado,- - -,55,121,128,25,14,6,1,4,17,16,5,0,29,1,1,0,4,2,2,.207,2022
464,Rougned Odor,BAL,135,426,472,88,53,19,3,13,49,53,32,1,109,10,4,0,9,6,1,.207,2022
465,Peyton Burdick,MIA,32,92,102,19,11,4,0,4,8,11,8,0,35,2,0,0,1,1,0,.207,2022
466,Tucupita Marcano,PIT,49,160,177,33,23,6,2,2,18,13,10,0,44,1,1,5,1,2,1,.206,2022
467,Omar Narvaez,MIL,84,262,296,54,37,12,1,4,21,23,29,1,57,3,1,1,4,0,0,.206,2022
468,Mike Ford,- - -,50,131,149,27,19,5,0,3,9,10,17,0,40,1,0,0,1,0,0,.206,2022
469,Diego Castillo,PIT,96,262,283,54,30,13,0,11,28,29,14,1,75,3,4,0,7,1,1,.206,2022
470,Isaac Paredes,TBR,111,331,381,68,32,16,0,20,48,45,44,0,67,4,2,0,12,0,1,.205,2022
471,Nelson Velazquez,CHC,77,185,206,38,22,7,3,6,20,26,19,0,65,2,0,0,5,5,2,.205,2022
472,Gary Sanchez,MIN,128,419,471,86,46,24,0,16,42,61,40,0,136,7,5,0,12,2,0,.205,2022
473,Joey Votto,CIN,91,322,376,66,36,18,1,11,31,41,44,0,97,10,0,0,8,0,0,.205,2022
